0 0.1 0 0 0 1 0 0 0 0 1495.36 1588.82 0 0 0 0 330.379 -363.833 0 16 929.5
0.1 0.3 0 0 0 0 0 0 0 0 1495.36 1588.82 0 0 0 0 431.206 -376.679 0 20 912.5
0.2 0.5 0 0 0 0 0 0 0 0 1495.36 1588.82 0 0 0 0 532.033 -389.525 0 24 895.5
0.3 0.7 2 0 0 0 0 0 0 0 1495.36 1588.82 0 0 0 0 632.86 -402.371 0 28 878.5
0.4 0.9 2 0 0 0 0 0 0 0 1495.36 1588.82 0 0 0 0 733.687 -415.217 0 32 861.5
0.41 0.9 2 0 0 0 0 0 0 1 1495.36 1588.82 0 0 0 0 623.687 -327.217 0 32.4 861.5
0.47 0.7 2 0 0 0 0 0 0 1 1495.36 1588.82 0 0 0 0 623.687 -288.717 0 34.8 878.5
0.53 0.5 0 0 0 0 0 0 0 1 1495.36 1588.82 0 0 0 0 623.687 -250.217 0 37.2 895.5
0.59 0.3 0 0 0 0 0 0 0 1 1495.36 1588.82 0 0 0 0 623.687 -211.717 0 39.6 912.5
0.65 0.1 2 0 0 1 0 1 0 1 1495.36 1588.82 0 0 0 0 623.687 -173.217 0 42 929.5
0.9 0.258824 2 0 0 0 0 0 0 2 1495.36 1588.82 0 0 0 0 1203.73 -648.161 0 52 916.5
0.975 0.364706 2 0 0 0 0 0 0 2 1495.36 1588.82 0 0 0 0 623.687 -327.217 0 58 909.5
1.05 0.458824 2 0 0 0 0 0 0 2 1495.36 1588.82 0 0 0 0 531.437 -296.967 0 67 905.5
1.1 0.564706 2 0 0 0 0 0 0 2 1495.36 1588.82 0 0 0 0 439.187 -266.717 0 74 898.5
1.2 0.670588 2 0 0 0 0 0 0 2 1495.36 1588.82 0 0 0 0 346.937 -236.467 0 80 897.5
1.65 0.705882 2 0 0 0 0 0 0 2 1495.36 1588.82 0 0 0 0 254.687 -206.217 0 93 889.5
